09:53:14,699 ERROR [cl.mdr.ifrs.modules.seguridad.filter.SeguridadFilter] (http--0.0.0.0-8081-6) Usuario No autorizado
09:53:18,878 INFO  [cl.mdr.ifrs.modules.seguridad.mb.LoginBackingBean] (http--0.0.0.0-8081-6) autentificando usuario
09:53:19,296 WARN  [org.hibernate.hql.internal.ast.QueryTranslatorImpl] (http--0.0.0.0-8081-6) HHH000104: firstResult/maxResults specified with collection fetch; applying in memory!
09:53:20,034 INFO  [stdout] (http--0.0.0.0-8081-6)         and areanegoci0_.ID_AREA_NEGOCIO=?
09:53:20,036 INFO  [cl.mdr.ifrs.modules.seguridad.mb.LoginBackingBean] (http--0.0.0.0-8081-6) Login OK
09:53:20,038 INFO  [stdout] (http--0.0.0.0-8081-6) Hibernate: 
09:53:20,039 INFO  [stdout] (http--0.0.0.0-8081-6)     select
09:53:20,039 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.NOMBRE_USUARIO as NOMBRE1_10_0_,
09:53:20,040 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.APELLIDO_MATERNO as APELLIDO2_10_0_,
09:53:20,040 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.APELLIDO_PATERNO as APELLIDO3_10_0_,
09:53:20,041 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.CAMBIAR_PASSWORD as CAMBIAR4_10_0_,
09:53:20,042 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.email as email10_0_,
09:53:20,042 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.FECHA_ACTUALIZACION as FECHA6_10_0_,
09:53:20,043 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.FECHA_CREACION as FECHA7_10_0_,
09:53:20,043 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.FECHA_ULTIMO_ACCESO as FECHA8_10_0_,
09:53:20,044 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.NOMBRE as NOMBRE10_0_,
09:53:20,045 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.password as password10_0_,
09:53:20,045 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.ID_ROL as ID12_10_0_,
09:53:20,046 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.vigente as vigente10_0_ 
09:53:20,046 INFO  [stdout] (http--0.0.0.0-8081-6)     from
09:53:20,047 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_USUARIO usuario0_ 
09:53:20,047 INFO  [stdout] (http--0.0.0.0-8081-6)     where
09:53:20,048 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.NOMBRE_USUARIO=?
09:53:20,262 INFO  [stdout] (http--0.0.0.0-8081-6) Hibernate: 
09:53:20,263 INFO  [stdout] (http--0.0.0.0-8081-6)     select
09:53:20,263 INFO  [stdout] (http--0.0.0.0-8081-6)         rol0_.ID_ROL as ID1_37_0_,
09:53:20,264 INFO  [stdout] (http--0.0.0.0-8081-6)         rol0_.NOMBRE_ROL as NOMBRE2_37_0_ 
09:53:20,264 INFO  [stdout] (http--0.0.0.0-8081-6)     from
